Government_School,Government_District,Government_Latitude,Government_Longitude,BEF_School,BEF_District,Distance_KM
GGPS ALI MUHAMMAD KANRANI,Sohbat Pur,28.4469413472116,68.876315843628,Darya khan gajani/Arbab Pandrani,Sohbat Pur,4.11
GBMIDS MUHAMMAD AMIN KHAN,Sohbat Pur,28.4682484895021,68.7429356367741,Raheem Bakhsh Kandrani,Sohbat Pur,4.2
GBMIDS MUHAMMAD AMIN KHAN,Sohbat Pur,28.4682484895021,68.7429356367741,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,7.76
GBMIDS MUHAMMAD AMIN KHAN,Sohbat Pur,28.4682484895021,68.7429356367741,Darya khan gajani/Arbab Pandrani,Sohbat Pur,9.23
GBMIDS MUHAMMAD AMIN KHAN,Sohbat Pur,28.4682484895021,68.7429356367741,Goth Gul Sher Kandrani,Sohbat Pur,2.6
GBMIDS LASHKAR KHAN KANRANI,Sohbat Pur,28.4990602596566,68.6994381094834,Raheem Bakhsh Kandrani,Sohbat Pur,7.7
GBMIDS LASHKAR KHAN KANRANI,Sohbat Pur,28.4990602596566,68.6994381094834,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,2.31
GBMIDS LASHKAR KHAN KANRANI,Sohbat Pur,28.4990602596566,68.6994381094834,Goth Gul Sher Kandrani,Sohbat Pur,6.27
GGMIDS HUSSAIN MUHAMMAD KANRANI,Sohbat Pur,28.4801333971799,68.7258501490282,Raheem Bakhsh Kandrani,Sohbat Pur,5.16
GGMIDS HUSSAIN MUHAMMAD KANRANI,Sohbat Pur,28.4801333971799,68.7258501490282,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,5.63
GGMIDS HUSSAIN MUHAMMAD KANRANI,Sohbat Pur,28.4801333971799,68.7258501490282,Goth Gul Sher Kandrani,Sohbat Pur,3.53
GGHS HAIR DIN,Sohbat Pur,28.52099523,68.66817642,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,1.63
GGHS HAIR DIN,Sohbat Pur,28.52099523,68.66817642,Akbar khayazai,Sohbat Pur,6.33
GGHS HAIR DIN,Sohbat Pur,28.52099523,68.66817642,Goth Gul Sher Kandrani,Sohbat Pur,9.96
GBPS JAM BUMBAL,Sohbat Pur,28.4589067777195,68.7565323581345,Raheem Bakhsh Kandrani,Sohbat Pur,4.14
GBPS JAM BUMBAL,Sohbat Pur,28.4589067777195,68.7565323581345,Muhammad Ashraf Lashari/Mula Basksh Jattak,Sohbat Pur,9.45
GBPS JAM BUMBAL,Sohbat Pur,28.4589067777195,68.7565323581345,Darya khan gajani/Arbab Pandrani,Sohbat Pur,7.84
GBPS JAM BUMBAL,Sohbat Pur,28.4589067777195,68.7565323581345,Goth Gul Sher Kandrani,Sohbat Pur,2.94
GBMIDS MUHAMMAD HASHIM BAROHI,Sohbat Pur,28.4523448440073,68.7662391091191,Raheem Bakhsh Kandrani,Sohbat Pur,4.5
GBMIDS MUHAMMAD HASHIM BAROHI,Sohbat Pur,28.4523448440073,68.7662391091191,Darya khan gajani/Arbab Pandrani,Sohbat Pur,6.92
GBMIDS MUHAMMAD HASHIM BAROHI,Sohbat Pur,28.4523448440073,68.7662391091191,Goth Gul Sher Kandrani,Sohbat Pur,3.66
GBPS MUHAMMAD RAHIM KANRANI,Sohbat Pur,28.4682158502373,68.7343892412082,Raheem Bakhsh Kandrani,Sohbat Pur,3.94
