SchoolName,District,CurrentLevel,RecommendedProgression,Gender,Priority,Target_School_Latitude,Target_School_Longitude,Total_Progression_Schools_Found,Analysis_Message,Nearest_Progression_School,Distance_to_Nearest_KM,Progression_School_District
GGMIDS QADAR ABAD TOWN,KHARAN,Middle,High,Girls,Standard,65.4087116666666,28.5780433333333,8,Found 8 High schools within 6.0km,GGHS YASEEN ABAD,0.62,KHARAN
GGMIDS GHULAM MUHAMMAD SARPARA,NASEER ABAD,Middle,High,Girls,Standard,68.1276433333333,28.488235,7,Found 7 High schools within 6.0km,GBHS SONA KHAN GOHT GHULAM M.SARBARH,0.4,NASEER ABAD
GGMIDS ISHAQUE GOTH WINDER,LASBELA,Middle,High,Girls,Standard,66.6751783333333,25.4120683333333,2,Found 2 High schools within 6.0km,GGHS RANA BITT,1.47,LASBELA
GGMIDS JAM YOUSAF COLONY,LASBELA,Middle,High,Girls,Standard,66.8800582377242,25.0444005207145,5,Found 5 High schools within 6.0km,GBHS JAM YOUSAF COLONY,0.04,LASBELA
GBPS ANWAR ABAD SUNNI,KHUZDAR,Primary,Middle,Boys,Standard,66.6128116666666,27.85542,12,Found 12 Middle schools within 6.0km,GGMIDS JAFFAR ABAD,1.24,KHUZDAR
GGPS HAFIZ ROSHAN DIN,SOHBAT PUR,Primary,Middle,Girls,Standard,68.5154529322881,28.6358234715914,5,Found 5 Middle schools within 6.0km,GBMIDS ROSHAN UD DIN KHAN KHOSA,0.16,SOHBAT PUR
GBMIDS KILLI MUSA KHAN NASAR BAWAR,LORALAI,Middle,High,Boys,Standard,68.5573,30.3692766666666,16,Found 16 High schools within 6.0km,GGHS NAWAN KILLI PATHAN KOT,1.49,LORALAI
GBPS KILLI MALIK NAZREY SHAMOZAI,MUSAKHEL,Primary,Middle,Boys,Standard,69.946956150865,31.1642513154574,0,Found 0 Middle schools within 6.0km,,,
GGPS MUHAMMAD AZEEM MAGSI,JAFER ABAD,Primary,Middle,Girls,Standard,68.3994910275856,28.503677180329,12,Found 12 Middle schools within 6.0km,GBMIDS MUHAMMAD AZEEM MAGSI,0.23,JAFER ABAD
GBPS BASTI NALA (KILLI M BAKHSH),SIBI,Primary,Middle,Boys,Standard,67.9982365177978,29.0091611339927,0,Found 0 Middle schools within 6.0km,,,
GBPS HUMAYUN JOGEZAI,KILLA SAIFULLAH,Primary,Middle,Boys,Standard,68.2739700096847,30.7245010512823,3,Found 3 Middle schools within 6.0km,GGMIDS KILLI SARDAR ROZI,1.44,KILLA SAIFULLAH
GGCMPS NEW KAHAN QUETTA,QUETTA,Middle,High,Girls,Standard,66.9296966666666,30.0896283333333,21,Found 21 High schools within 6.0km,GBHS CHILTAN RAISANI SARIAB,1.33,QUETTA
GGMIDS KILLI MENGAL ABAD LIZO,KHUZDAR,Middle,High,Girls,Standard,66.6201735796779,27.8008151731867,9,Found 9 High schools within 6.0km,GGHS KHATAN,0.58,KHUZDAR
GBPS ADIL ABAD,SHERANI,Primary,Middle,Boys,Standard,69.8506078372271,31.5096262100008,5,Found 5 Middle schools within 6.0km,GBMIDS SORE LAKAI BAIK,1.39,SHERANI
GGPS HAJI MUHAMMAD RASOOL,CHAMAN,Primary,Middle,Girls,Standard,66.5139569201346,30.9401666448343,7,Found 7 Middle schools within 6.0km,GBMIDS MUHAMMAD MIR ANZARGI KARAIZ,2.9,CHAMAN
GGPS SAAT MARLA,KHUZDAR,Primary,Middle,Girls,Standard,66.6380416666666,27.8039516666666,13,Found 13 Middle schools within 6.0km,GGMIDS LATIF ABAD KHATTAN,0.43,KHUZDAR
GBPS ALI BAKHSH SASOLI,NASEER ABAD,Primary,Middle,Boys,Standard,68.3363636829292,28.5233576079258,5,Found 5 Middle schools within 6.0km,GBMIDS ABDUL RAZAQUE UMARANI.,2.66,NASEER ABAD
GBPS BAZI GEER KHUZDAR,KHUZDAR,Primary,Middle,Boys,Standard,66.60348392,27.83728026,12,Found 12 Middle schools within 6.0km,GGMIDSS BAZGIR,0.17,KHUZDAR
GBPS KAKA ZAI,PISHIN,Primary,Middle,Boys,Standard,66.903525,30.7423616666666,15,Found 15 Middle schools within 6.0km,GBMIDS HAJIAN SHAKERZAI,1.3,PISHIN
