S.no,BemisCode,District,Tehsil,UC,SchoolName,gps_Point,_xCord,_yCord
204,45174,Kech ,Turbat,Baloor,Qaader Dad ,26.0136755 64.3139301,26.0136755,64.3139301
205,45175,Kech ,Turbat ,Baloor,Umeed Ali Bazar ,26.0265668 64.3895153,26.0265668,64.3895153
206,45176,Kech ,Turbat ,Dandar ,Umer Honak ,26.0740887 64.1955885,26.0740887,64.1955885
207,45177,Kech ,Turbat ,Dandar ,Murd Bazar ,26.1569702 64.4423987,26.1569702,64.4423987
208,45178,Kech ,Turbat ,Dandar ,Selah Mohd Bazar ,26.1394219 64.4230101,26.1394219,64.4230101
209,45179,Kech ,Turbat,Hoshab ,Sind Bazar Hoshab,26.017865 63.8995685,26.017865,63.8995685
210,45180,Kech ,Turbat ,Hoshab ,Be-Aap Balgather ,26.2606122 63.8193313,26.2606122,63.8193313
211,45181,Kech ,Turbat,Hoshab ,Dar-e-Kand,26.1622593 63.9938533,26.1622593,63.9938533
212,45182,kech ,Turbat ,Hoshab ,Khoori Abdullah Bazar ,26.0636497 63.8626059,26.0636497,63.8626059
213,45183,Kech ,Turbat,Hoshab ,Dam-e-Kalat ,26.1674804 63.8789774,26.1674804,63.8789774
214,45184,Kharan,Kharan,North City,Rehman Abad ,28.5578865 65.4246927,28.5578865,65.4246927
215,45185,Kharan,Kharan,Raskoh,Dot Nagut,28.6926556 65.5116656,28.6926556,65.5116656
216,45186,Kharan,Kharan,Jamak,killi khuasti khan,28.3776529 65.3052578,28.3776529,65.3052578
217,45187,Kharan,Kharan,Raskoh,koyhab,28.6611755 65.167469,28.6611755,65.167469
218,45188,Kharan,Kharan,Raskoh,Sufaid Degari,28.9449115 65.5012382,28.9449115,65.5012382
219,45189,Kharan,Kharan,Joda e Kalat,Noroz Khan Girdena(Sultan Mohammad Channal),28.909266 65.6236766,28.909266,65.6236766
220,45190,Kharan,Kharan,Sarawan,Danu Kanian,28.6259707 65.5589224,28.6259707,65.5589224
221,45191,Kharan,Kharan,Sarawan,Topian,28.625493 65.5593632,28.625493,65.5593632
222,45192,Kharan,Kharan,Sarawan,Allah Abad Azad Gaz,28.7241689 65.5587552,28.7241689,65.5587552
223,45193,Kharan,Kharan,South City,Syed Abdul  Khalique,28.5356117 65.3991124,28.5356117,65.3991124
224,45194,Kharan,Kharan,Tohmulk,Abdul Salam Tohmulk,28.5562893 65.2229849,28.5562893,65.2229849
225,45195,Kharan,Kharan,Tohmulk,Bahadurzai,28.6082873 65.2785641,28.6082873,65.2785641
226,45196,Kharan,Kharan,Tohmulk,Jalalzi,28.6138516 65.2876765,28.6138516,65.2876765
227,45197,Kharan,kharan,Tohmulk,Noor Mohammad Chadh,28.5238333 65.2311812,28.5238333,65.2311812
228,45198,Kharan,Kharan,Tohmulk,Shah Dost Bedi,28.554032 65.1828331,28.554032,65.1828331
229,45199,Kharan,kharan,Joda e Kalat,Tagap,28.6123583 65.26047,28.6123583,65.26047
230,45200,Kharan,kharan,Joda e Kalat,Khan Mohammad Kandora,28.4467649 65.5333632,28.4467649,65.5333632
231,45201,Kharan,kharan,Jamak,Nazarzi/Allah Abad Jangal,28.5748511 65.0871176,28.5748511,65.0871176
232,45202,Kharan,kharan,Jamak,Faqeer Mohammad Hurro,28.5046176 65.4636465,28.5046176,65.4636465
233,45203,Kharan,kharan,Joda e Kalat,Haji Fazal M Karez(Naroo),28.6124688 65.4152412,28.6124688,65.4152412
234,45204,Kharan,Kharan,Jamak,Jamak,28.4875224 65.3328467,28.4875224,65.3328467
235,45205,Kharan,Kharan,Jamak,Zorabad,28.4671453 65.3031986,28.4671453,65.3031986
236,45206,Kharan,Kharan,Jamak,Mohammad Hasan Baddo,28.4878518 65.3328685,28.4878518,65.3328685
237,45207,Kharan,kharan,Joda e Kalat,Narrunki Kubdani,28.4025704 65.4531856,28.4025704,65.4531856
238,45208,Kharan,kharan,Jamak,Sasoli,28.4117003 65.4282409,28.4117003,65.4282409
239,45209,Kharan,kharan,Joda e Kalat,Patesar Malangzi,28.3906953 65.495755,28.3906953,65.495755
240,45211,Kharan,Kharan,North City,Barkat Abad/Shey Tagap,28.5867612 65.4082584,28.5867612,65.4082584
241,45212,Kharan,Kharan,Sarawan,Garbaj,28.7858059 65.5828931,28.7858059,65.5828931
242,45574,Kharan,Sar kharan,,Kareemabad/Haddoo,28.5543778 65.4104019,28.5543778,65.4104019
243,45651,Kharan,kharan,Joda e Kalat,Danno,28.4196837 65.5039441,28.4196837,65.5039441
244,45213,Khuzdar,baghbana,baghbana,Killi Rej,27.8313482 66.6147767,27.8313482,66.6147767
245,45214,Khuzdar,baghbana,totak,Killi Karodi Bathar,27.8958305 66.2048563,27.8958305,66.2048563
246,45216,Khuzdar,baghbana,parko,Killi Khuda Bux,27.8813787 66.1750528,27.8813787,66.1750528
247,45220,Khuzdar,baghbana,noghe,Killi Dar Ul Hudda,28.0236351 66.4412499,28.0236351,66.4412499
248,45221,Khuzdar,baghbana,kapar,Killi Bhit Kappar,27.831275 66.614711,27.831275,66.614711
249,45222,Khuzdar,baghbana,baghbana,Killi Bajuri Kalan,27.8313869 66.6147325,27.8313869,66.6147325
250,45224,Khuzdar,baghbana,totak,Killi Imam Bux Juri,27.9793639 66.3170837,27.9793639,66.3170837
251,45225,Khuzdar,zidi,zidi,Killi Sheikh Shar Zeedi,27.6939632 66.8365062,27.6939632,66.8365062
252,45226,Khuzdar,Zeedi,Zeedi,Killi Zeedi Maro,27.5914758 66.4673665,27.5914758,66.4673665
253,45239,Khuzdar,ornach,ornach,Killi Reko Ornach,26.9666951 66.1260271,26.9666951,66.1260271
254,45240,Khuzdar,ornach,ornach,Killi Shori Ornach,27.0219293 66.1582085,27.0219293,66.1582085
255,45249,Khuzdar,baghbana,parko,Killi tahir Abad / Gunko,27.8313444 66.6147632,27.8313444,66.6147632
256,45250,Khuzdar,wadh,wadh,Killi Khalifa Mehmood,27.8313046 66.6147397,27.8313046,66.6147397
257,45251,Khuzdar,Zeedi,Zeedi,Killi Rastari ,27.7241095 66.8280607,27.7241095,66.8280607
258,45252,Khuzdar,wadh,lop,Killi Hammal Khan,27.8312852 66.6147482,27.8312852,66.6147482
259,45253,Khuzdar,wadh,wadh,Killi Khameesa bhando,27.8314127 66.6148327,27.8314127,66.6148327
260,45254,Khuzdar,wadh,wadh,Killi Ghaus Bux Gurgunari,27.8312509 66.6146833,27.8312509,66.6146833
261,45255,Khuzdar,wadh,tuk,Killi Noke Joo,27.8313494 66.6148507,27.8313494,66.6148507
262,45256,Khuzdar,wadh,wadh,Killi Satlimar,27.8313414 66.6147112,27.8313414,66.6147112
263,45257,Khuzdar,wadh,wadh,Killi Nabi Bux Lehri,27.8312971 66.6146556,27.8312971,66.6146556
264,45258,Khuzdar,wadh,wehr,Killi A Ghafoor Khurmi ,27.8313074 66.6146969,27.8313074,66.6146969
265,45259,Khuzdar,wadh,wadh,Killi Maula Bux,27.4364031 66.4024135,27.4364031,66.4024135
266,45260,Khuzdar,zehri,zehri,Killi Malguzar ,27.8313429 66.6147744,27.8313429,66.6147744
267,45261,Khuzdar,zehri,zehri,Killi Nachari ,27.8313857 66.6148472,27.8313857,66.6148472
268,45721,Khuzdar,Wadh,Ornach,Akearo Kabbari,26.7076836 66.2746885,26.7076836,66.2746885
269,45725,Khuzdar,Wadh,Akero Ornach,Killi Takari Hamza,26.7164913 66.2997534,26.7164913,66.2997534
270,45215,Khuzdar ,khuzdar,parko,Killi Jafarabad Pipli,27.7976828 66.611548,27.7976828,66.611548
271,45217,Khuzdar ,khuzdar,parko,Killi A Ghani Bunap,27.9354325 66.2782129,27.9354325,66.2782129
272,45218,Khuzdar ,khuzdar,parko,Killi Mohammad Kita,27.908486 66.3042714,27.908486,66.3042714
